2,3,1,1
2,4,1,-1
2,5,1,-1
2,6,1,-1
2,7,1,-1
2,8,1,-1
2,9,1,1
2,1,0,-1
2,J,1,1
2,Q,1,1
2,K,1,1
2,A,1,-1
2,2,0,1
2,3,0,1
2,4,0,1
2,5,0,-1
2,6,0,1
2,7,0,1
2,8,0,1
2,9,0,1
2,1,0,-1
2,J,0,-1
2,Q,0,1
2,K,0,1
2,A,0,1
3,4,1,-1
3,5,1,-1
3,6,1,-1
3,7,1,1
3,8,1,-1
3,9,1,1
3,1,0,1
3,J,1,-1
3,Q,1,0
3,K,1,-1
3,A,1,-1
3,2,0,-1
3,3,0,1
3,4,0,1
3,5,0,1
3,6,0,-1
3,7,0,1
3,8,0,1
3,9,0,-1
3,1,0,-1
3,J,0,1
3,Q,0,1
3,K,0,-1
3,A,0,0
4,5,1,-1
4,6,1,1
4,7,1,-1
4,8,1,1
4,9,1,1
4,1,0,-1
4,J,1,-1
4,Q,1,1
4,K,1,1
4,A,1,1
4,2,0,-1
4,3,0,1
4,4,0,1
4,5,0,-1
4,6,0,-1
4,7,0,0
4,8,0,-1
4,9,0,-1
4,1,0,-1
4,J,0,1
4,Q,0,1
4,K,0,1
4,A,0,1
5,6,1,-1
5,7,1,1
5,8,1,1
5,9,1,0
5,1,0,0
5,J,1,-1
5,Q,1,-1
5,K,1,-1
5,A,1,0
5,2,0,1
5,3,0,-1
5,4,0,1
5,5,0,-1
5,6,0,-1
5,7,0,-1
5,8,0,-1
5,9,0,1
5,1,0,1
5,J,0,-1
5,Q,0,-1
5,K,0,-1
5,A,0,1
6,7,1,-1
6,8,1,-1
6,9,1,1
6,1,0,-1
6,J,1,-1
6,Q,1,1
6,K,1,1
6,A,1,-1
6,2,0,1
6,3,0,-1
6,4,0,1
6,5,0,-1
6,6,0,1
6,7,0,-1
6,8,0,1
6,9,0,1
6,1,0,-1
6,J,0,0
6,Q,0,-1
6,K,0,0
6,A,0,1
7,8,1,-1
7,9,1,1
7,1,0,0
7,J,1,-1
7,Q,1,1
7,K,1,1
7,A,1,1
7,2,0,-1
7,3,0,-1
7,4,0,0
7,5,0,-1
7,6,0,1
7,7,0,-1
7,8,0,1
7,9,0,1
7,1,0,-1
7,J,0,-1
7,Q,0,1
7,K,0,-1
7,A,0,-1
8,9,1,1
8,1,0,-1
8,J,1,-1
8,Q,1,-1
8,K,1,1
8,A,1,1
8,2,0,1
8,3,0,1
8,4,0,1
8,5,0,-1
8,6,0,1
8,7,0,-1
8,8,0,1
8,9,0,1
8,1,0,-1
8,J,0,-1
8,Q,0,1
8,K,0,1
8,A,0,1
9,1,0,-1
9,J,1,0
9,Q,1,-1
9,K,1,1
9,A,1,1
9,2,0,1
9,3,0,1
9,4,0,-1
9,5,0,-1
9,6,0,-1
9,7,0,1
9,8,0,-1
9,9,0,1
9,1,0,-1
9,J,0,1
9,Q,0,-1
9,K,0,1
9,A,0,1
1,J,0,-1
1,Q,0,1
1,K,0,1
1,A,0,-1
1,2,0,-1
1,3,0,1
1,4,0,-1
1,5,0,1
1,6,0,1
1,7,0,-1
1,8,0,-1
1,9,0,-1
1,1,1,-1
1,J,0,-1
1,Q,0,1
1,K,0,1
1,A,0,1
J,Q,1,-1
J,K,1,1
J,A,1,1
J,2,0,1
J,3,0,-1
J,4,0,-1
J,5,0,1
J,6,0,1
J,7,0,-1
J,8,0,1
J,9,0,1
J,1,0,-1
J,J,0,1
J,Q,0,-1
J,K,0,1
J,A,0,1
Q,K,1,1
Q,A,1,1
Q,2,0,1
Q,3,0,-1
Q,4,0,1
Q,5,0,-1
Q,6,0,1
Q,7,0,1
Q,8,0,1
Q,9,0,1
Q,1,0,1
Q,J,0,1
Q,Q,0,-1
Q,K,0,1
Q,A,0,1
K,A,1,1
K,2,0,1
K,3,0,0
K,4,0,1
K,5,0,1
K,6,0,1
K,7,0,1
K,8,0,1
K,9,0,1
K,1,0,-1
K,J,0,1
K,Q,0,1
K,K,0,1
K,A,0,-1
A,2,0,-1
A,3,0,1
A,4,0,0
A,5,0,-1
A,6,0,1
A,7,0,1
A,8,0,1
A,9,0,0
A,1,0,-1
A,J,0,1
A,Q,0,1
A,K,0,1
A,A,0,-1
2,3,1,-1
2,4,1,1
2,5,1,1
2,6,1,-1
2,7,1,1
2,8,1,-1
2,9,1,0
2,1,0,-1
2,J,1,1
2,Q,1,-1
2,K,1,1
2,A,1,1
3,4,1,1
3,5,1,-1
3,6,1,-1
3,7,1,1
3,8,1,1
3,9,1,1
3,1,0,-1
3,J,1,-1
3,Q,1,-1
3,K,1,1
3,A,1,-1
4,5,1,-1
4,6,1,-1
4,7,1,-1
4,8,1,-1
4,9,1,-1
4,1,0,-1
4,J,1,1
4,Q,1,0
4,K,1,-1
4,A,1,1
5,6,1,-1
5,7,1,-1
5,8,1,-1
5,9,1,-1
5,1,0,-1
5,J,1,1
5,Q,1,-1
5,K,1,1
5,A,1,-1
6,7,1,1
6,8,1,1
6,9,1,1
6,1,0,1
6,J,1,-1
6,Q,1,1
6,K,1,1
6,A,1,1
7,8,1,-1
7,9,1,1
7,1,0,-1
7,J,1,-1
7,Q,1,-1
7,K,1,1
7,A,1,1
8,9,1,1
8,1,0,-1
8,J,1,-1
8,Q,1,1
8,K,1,1
8,A,1,-1
9,1,0,-1
9,J,1,-1
9,Q,1,1
9,K,1,-1
9,A,1,1
1,J,0,1
1,Q,0,-1
1,K,0,-1
1,A,0,-1
J,Q,1,-1
J,K,1,1
J,A,1,1
Q,K,1,-1
Q,A,1,1
K,A,1,1
